Rollno,QuotaName,AIR,Category,SubCategory,OptionNo,InstituteCode,Institute,Subject,AllottedCategory,AllotedPH,AdmittedRound
2001920176,Open Seat Quota,1.01,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4408010813,Open Seat Quota,1.02,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
1518070396,Open Seat Quota,1.03,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3918040017,Open Seat Quota,1.04,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3923490143,Open Seat Quota,1.05,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3905130233,Open Seat Quota,1.06,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3805040153,Open Seat Quota,1.07,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4608060714,Open Seat Quota,1.08,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3111200278,Open Seat Quota,1.09,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4408010212,Open Seat Quota,1.1,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3114070516,Open Seat Quota,1.11,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4131040542,Open Seat Quota,1.12,SC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
2807080262,Open Seat Quota,1.13,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3112500239,Open Seat Quota,1.14,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3814060175,Open Seat Quota,1.15,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3923460114,Open Seat Quota,1.16,EW,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3903020440,Open Seat Quota,1.17,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
4408050294,Open Seat Quota,18,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
3902020525,Open Seat Quota,19,General,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
1526030008,Open Seat Quota,20,OBC,NO,1,200502,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,Open,NO,1
